アー	aː
ガソリン	gasoɾiɴ
ガター	gataː
ガチ	gatɕi
ガチンコ	gatɕiɴko
ガッツポーズ	gatsːɯpoːzɯ
ガドリニウム	gadoɾiniɯmɯ
ガビアル	gabiaɾɯ
ガボン	gaboɴ
ガム	gamɯ
ガムテ	gamɯte
ガラクトース	gaɾakɯtoːsɯ
ガリウム	gaɾiɯmɯ
ガレージ	gaɾeːdʑi
ガレット	gaɾetːo
ガロン	gaɾoɴ
ガン	gaɴ
ガングロ	gaɴgɯɾo
ガンビア	gaɴbia
ガンプラ	gaɴpɯɾa
キー	kiː
キーウィ	kiːɯi
キーセン	kiːseɴ
キープ	kiːpɯ
キーボード	kiːboːdo
キーマン	kiːmaɴ
キーワード	kiːɰᵝaːdo
キーンコーンカーンコーン	kiːɴkoːɴkaːɴkoːɴ
キウイ	kiɯi
キオスク	kiosɯkɯ
キシリトール	kiɕiɾitoːɾɯ
キス	kisɯ
キセノン	kisenoɴ
キタキツネ	kitakitsɯne
キックオフ	kikːɯoɸɯ
キックボール	kikːɯboːɾɯ
キッス	kisːɯ
キッズ	kizːɯ
キッパー	kipːaː
キニーネ	kiniːne
キヌア	kinɯa
キネマ	kinema
キノリン	kinoɾiɴ
キノン	kinoɴ
キハダ	kihada
キプロス	kipɯɾosɯ
キマイラ	kimaiɾa
キムパ	kimɯpa
キムパプ	kimɯpapɯ
キメラ	kimeɾa
キモオタ	kimoota
キモカワイイ	kimokaɰᵝaii
キャスケット	kjasɯketːo
キャスター	kjasɯtaː
キャスト	kjasɯto
キャッシュ	kjaɕːɯ
キャッシュカード	kjaɕːɯkaːdo
キャッチ	kjatɕːi
キャッチフレーズ	kjatɕːiɸɯɾeːzɯ
キャッチホン	kjatɕːihoɴ
キャッチボール	kjatɕːiboːɾɯ
キャッチャー	kjatɕːaː
キャット	kjatːo
キャットウォーク	kjatːoɯoːkɯ
キャップ	kjapːɯ
キャディー	kjadeiː
キャノン	kjanoɴ
キャバクラ	kjabakɯɾa
キャバレー	kjabaɾeː
キャパ	kjapa
キャパシタ	kjapaɕita
キャパシティー	kjapaɕiteiː
キャビア	kjabia
キャピタル	kjapitaɾɯ
キャプション	kjapɯɕoɴ
キャプチャー	kjapɯtɕaː
キャプテン	kjapɯteɴ
キャベツ	kjabetsɯ
キャミ	kjami
キャミソール	kjamisoːɾɯ
キャラ	kjaɾa
キャラクター	kjaɾakɯtaː
キャラソン	kjaɾasoɴ
キャラデザ	kjaɾadeza
キャラバン	kjaɾabaɴ
キャラメル	kjaɾameɾɯ
キャリア	kjaɾia
キャリアウーマン	kjaɾiaɯːmaɴ
キャロル	kjaɾoɾɯ
キャン	kjaɴ
キャンセル	kjaɴseɾɯ
キャンデー	kjaɴdeː
キャンディ	kjaɴdei
キャンバス	kjaɴbasɯ
キャンパス	kjaɴpasɯ
キャンピング	kjaɴpiɴgɯ
キャンプ	kjaɴpɯ
キャンプサイト	kjaɴpɯsaito
キャンプファイア	kjaɴpɯɸaia
キャンベラ	kjaɴbeɾa
キャンペーン	kjaɴpeːɴ
キュー	kjɯː
キュービズム	kjɯːbizɯmɯ
キューピッド	kjɯːpidːo
キューポラ	kjɯːpoɾa
キュクロープス	kjɯkɯɾoːpɯsɯ
キュクロプス	kjɯkɯɾopɯsɯ
キュビスム	kjɯbisɯmɯ
キュポラ	kjɯpoɾa
キュリー	kjɯɾiː
キュリウム	kjɯɾiɯmɯ
キュロット	kjɯɾotːo
キラー	kiɾaː
キリシタン	kiɾiɕitaɴ
キリル	kiɾiɾɯ
キル	kiɾɯ
キルト	kiɾɯto
キロ	kiɾo
キロカロリー	kiɾokaɾoɾiː
キンカジュー	kiɴkadʑɯː
キンキ	kiɴki
キング	kiɴgɯ
キンパ	kiɴpa
ギー	giː
ギガワロス	gigaɰᵝaɾosɯ
ギシギシアンアン	giɕigiɕiaɴaɴ
ギター	gitaː
ギタリスト	gitaɾisɯto
ギニーピッグ	giniːpigːɯ
ギフト	giɸɯto
ギブ	gibɯ
ギブアップ	gibɯapːɯ
ギャップ	gjapːɯ
ギャバジン	gjabadʑiɴ
ギャフ	gjaɸɯ
ギャラ	gjaɾa
ギャラリー	gjaɾaɾiː
ギャランティ	gjaɾaɴtei
ギャル	gjaɾɯ
ギャルゲー	gjaɾɯgeː
ギャンブラー	gjaɴbɯɾaː
ギャンブル	gjaɴbɯɾɯ
ギヨチン	gijotɕiɴ
ギロチン	giɾotɕiɴ
ギンガム	giɴgamɯ
クーデター	kɯːdetaː
クーポン	kɯːpoɴ
クーラー	kɯːɾaː
クール	kɯːɾɯ
クーロン	kɯːɾoɴ
クアッガ	kɯagːa
クィディッチ	kɯideitɕːi
クイーン	kɯiːɴ
クイズ	kɯizɯ
クイック	kɯikːɯ
クエーカー	kɯeːkaː
クエーサー	kɯeːsaː
クエリ	kɯeɾi
クォーク	kɯoːkɯ
クォーター	kɯoːtaː
クォーターバック	kɯoːtaːbakːɯ
クォンタイズ	kɯoɴtaizɯ
クオーク	kɯoːkɯ
クオーター	kɯoːtaː
クオータリー	kɯoːtaɾiː
クオリア	kɯoɾia
クスクス	kɯsɯkɯsɯ
クソ	kɯso
クチュリエ	kɯtɕɯɾie
クッキー	kɯkːiː
クッキング	kɯkːiɴgɯ
クッション	kɯɕːoɴ
クッパ	kɯpːa
クライエント	kɯɾaieɴto
クラウドファンディング	kɯɾaɯdoɸaɴdeiɴgɯ
クラス	kɯɾasɯ
クラスター	kɯɾasɯtaː
クラスメート	kɯɾasɯmeːto
クラスメイト	kɯɾasɯmeito
クラッキング	kɯɾakːiɴgɯ
クラブ	kɯɾabɯ
クラブサンドイッチ	kɯɾabɯsaɴdoitɕːi
クラブチーム	kɯɾabɯtɕiːmɯ
クラブハウス	kɯɾabɯhaɯsɯ
クラミジア	kɯɾamidʑia
クラリネット	kɯɾaɾinetːo
クランク	kɯɾaɴkɯ
クランクイン	kɯɾaɴkɯiɴ
クランプ	kɯɾaɴpɯ
クランベリー	kɯɾaɴbeɾiː
クリーナー	kɯɾiːnaː
クリーン	kɯɾiːɴ
クリア	kɯɾia
クリエーター	kɯɾieːtaː
クリエイター	kɯɾieitaː
クリエイティブ	kɯɾieiteibɯ
クリオール	kɯɾioːɾɯ
クリケット	kɯɾiketːo
クリスチャン	kɯɾisɯtɕaɴ
クリスマス	kɯɾisɯmasɯ
クリスマスイブ	kɯɾisɯmasɯibɯ
クリック	kɯɾikːɯ
クリップボード	kɯɾipːɯboːdo
クリトリス	kɯɾitoɾisɯ
クリニック	kɯɾinikːɯ
クリノリン	kɯɾinoɾiɴ
クリパ	kɯɾipa
クリプトン	kɯɾipɯtoɴ
クリヤー	kɯɾijaː
クルー	kɯɾɯː
クルーカット	kɯɾɯːkatːo
クルアーン	kɯɾɯaːɴ
クレープ	kɯɾeːpɯ
クレーマー	kɯɾeːmaː
クレームブリュレ	kɯɾeːmɯbɯɾjɯɾe
クレーン	kɯɾeːɴ
クレイジー	kɯɾeidʑiː
クレオール	kɯɾeoːɾɯ
クレカ	kɯɾeka
クレジット	kɯɾedʑitːo
クレソン	kɯɾesoɴ
クレッシェンド	kɯɾeɕːieɴdo
クレド	kɯɾedo
クレパス	kɯɾepasɯ
クレヨン	kɯɾejoɴ
クレンメ	kɯɾeɴme
クローゼット	kɯɾoːzetːo
クローバー	kɯɾoːbaː
クロール	kɯɾoːɾɯ
クローン	kɯɾoːɴ
クロケット	kɯɾoketːo
クロスオーバー	kɯɾosɯoːbaː
クロスステッチ	kɯɾosɯsɯtetɕːi
クロスワード	kɯɾosɯɰᵝaːdo
クロッケー	kɯɾokːeː
クロマキー	kɯɾomakiː
クロム	kɯɾomɯ
クロラール	kɯɾoɾaːɾɯ
クロロフィル	kɯɾoɾoɸiɾɯ
クロロベンゼン	kɯɾoɾobeɴzeɴ
クロワッサン	kɯɾoɰᵝasːaɴ
クンニ	kɯɴni
クンニリングス	kɯɴniɾiɴgɯsɯ
グー	gɯː
グーグル	gɯːgɯɾɯ
グーパン	gɯːpaɴ
グアナコ	gɯanako
グアニジン	gɯanidʑiɴ
グアバ	gɯaba
グッジョブ	gɯdʑːobɯ
グッズ	gɯzːɯ
グッバイ	gɯbːai
グッピー	gɯpːiː
グッモーニン	gɯッmoːniɴ
グミ	gɯmi
グラス	gɯɾasɯ
グラデーション	gɯɾadeːɕoɴ
グラノーラ	gɯɾanoːɾa
グラビア	gɯɾabia
グラフ	gɯɾaɸɯ
グラフィック	gɯɾaɸikːɯ
グラフィティ	gɯɾaɸitei
グラマー	gɯɾamaː
グラマラス	gɯɾamaɾasɯ
グリーク	gɯɾiːkɯ
グリークラブ	gɯɾiːkɯɾabɯ
グリーンピース	gɯɾiːɴpiːsɯ
グリーンランド	gɯɾiːɴɾaɴdo
グリコーゲン	gɯɾikoːgeɴ
グリコシド	gɯɾikoɕido
グリシン	gɯɾiɕiɴ
グリズリー	gɯɾizɯɾiː
グリセリド	gɯɾiseɾido
グリセリン	gɯɾiseɾiɴ
グリセロール	gɯɾiseɾoːɾɯ
グリッサンド	gɯɾisːaɴdo
グリップ	gɯɾipːɯ
グリフォン	gɯɾiɸoɴ
グリンプス	gɯɾiɴpɯsɯ
グルーオン	gɯɾɯːoɴ
グループ	gɯɾɯːpɯ
グルコース	gɯɾɯkoːsɯ
グルジア	gɯɾɯdʑia
グルタミン	gɯɾɯtamiɴ
グルテン	gɯɾɯteɴ
グレー	gɯɾeː
グレースケール	gɯɾeːsɯkeːɾɯ
グレーゾーン	gɯɾeːzoːɴ
グレービー	gɯɾeːbiː
グレープフルーツ	gɯɾeːpɯɸɯɾɯːtsɯ
グレイ	gɯɾei
グレップ	gɯɾepːɯ
グロ	gɯɾo
グローバリゼーション	gɯɾoːbaɾizeːɕoɴ
グローリア	gɯɾoːɾia
グログラン	gɯɾogɯɾaɴ
グロテスク	gɯɾotesɯkɯ
グロリア	gɯɾoɾia
ケ	ke
ケーキ	keːki
ケージ	keːdʑi
ケース	keːsɯ
ケータリング	keːtaɾiɴgɯ
ケーブル	keːbɯɾɯ
ケール	keːɾɯ
ケチャップ	ketɕapːɯ
ケッパー	kepːaː
ケツバット	ketsɯbatːo
ケトン	ketoɴ
ケニア	kenia
ケベック	kebekːɯ
ケミカル	kemikaɾɯ
ケルビン	keɾɯbiɴ
ケルベロス	keɾɯbeɾosɯ
ケルン	keɾɯɴ
ケレド	keɾedo
ケロイド	keɾoido
ケンタウルス	keɴtaɯɾɯsɯ
ケンタウロス	keɴtaɯɾosɯ
ゲ	ge
ゲート	geːto
ゲーム	geːmɯ
ゲイ	gei
ゲシュタポ	geɕɯtapo
ゲシュタルト	geɕɯtaɾɯto
ゲスト	gesɯto
ゲゼルシャフト	gezeɾɯɕaɸɯto
ゲット	getːo
ゲットー	getːoː
ゲノム	genomɯ
ゲバルト	gebaɾɯto
ゲマインシャフト	gemaiɴɕaɸɯto
ゲラ	geɾa
ゲリマンダー	geɾimaɴdaː
ゲリラ	geɾiɾa
ゲル	geɾɯ
ゲルマニウム	geɾɯmaniɯmɯ
ゲレンデ	geɾeɴde
コ	ko
コーカソイド	koːkasoido
コークス	koːkɯsɯ
コークスクリュー	koːkɯsɯkɯɾjɯː
コース	koːsɯ
コースター	koːsɯtaː
コーダ	koːda
コーチ	koːtɕi
コーディネーター	koːdeineːtaː
コーディネート	koːdeineːto
コーデュロイ	koːdejɯɾoi
コート	koːto
コートジボワール	koːtodʑiboɰᵝaːɾɯ
コートドレス	koːtodoɾesɯ
コードネーム	koːdoneːmɯ
コーナー	koːnaː
コーパス	koːpasɯ
コーヒー	koːçiː
コーヒーミル	koːçiːmiɾɯ
コーヒーメーカー	koːçiːmeːkaː
コーラ	koːɾa
コーラン	koːɾaɴ
コーラングレ	koːɾaɴgɯɾe
コーリャン	koːɾjaɴ
コール	koːɾɯ
コールサイン	koːɾɯsaiɴ
コールスロー	koːɾɯsɯɾoː
コーン	koːɴ
コーンビーフ	koːɴbiːɸɯ
コア	koa
コアラ	koaɾa
コイル	koiɾɯ
コイン	koiɴ
コイントス	koiɴtosɯ
コインロッカー	koiɴɾokːaː
コカイン	kokaiɴ
コカトリス	kokatoɾisɯ
コガネムシ	koganemɯɕi
コギャル	kogjaɾɯ
コケコッコー	kokekokːoː
ココア	kokoa
ココナッツ	kokonatsːɯ
コサージュ	kosaːdʑɯ
コサイン	kosaiɴ
コス	kosɯ
コスチューム	kosɯtɕɯːmɯ
コスプレ	kosɯpɯɾe
コスプレイヤー	kosɯpɯɾeijaː
コセカント	kosekaɴto
コタンジェント	kotaɴdʑieɴto
コチュジャン	kotɕɯdʑaɴ
コック	kokːɯ
コットン	kotːoɴ
コップ	kopːɯ
コニャック	konjakːɯ
コバルト	kobaɾɯto
コピー	kopiː
コピペ	kopipe
コブラ	kobɯɾa
コペルニシウム	kopeɾɯniɕiɯmɯ
コマソン	komasoɴ
コミカル	komikaɾɯ
コミチバシリ	komitɕibaɕiɾi
コミック	komikːɯ
コミッショナー	komiɕːonaː
コミュニケーション	komjɯnikeːɕoɴ
コミュニスト	komjɯnisɯto
コミュニズム	komjɯnizɯmɯ
コミンテルン	komiɴteɾɯɴ
コム	komɯ
コメディ	komedei
コメンテーター	komeɴteːtaː
コメント	komeɴto
コモロ	komoɾo
コヨーテ	kojoːte
コラーゲン	koɾaːgeɴ
コラーン	koɾaːɴ
コラボレーション	koɾaboɾeːɕoɴ
コリアンダー	koɾiaɴdaː
コリン	koɾiɴ
コルク	koɾɯkɯ
コルサージュ	koɾɯsaːdʑɯ
コルセット	koɾɯsetːo
コルホーズ	koɾɯhoːzɯ
コレクション	koɾekɯɕoɴ
コレクター	koɾekɯtaː
コレステロール	koɾesɯteɾoːɾɯ
コレラ	koɾeɾa
コロケーション	koɾokeːɕoɴ
コロッケ	koɾokːe
コロナ	koɾona
コロナウイルス	koɾonaɯiɾɯsɯ
コロニー	koɾoniː
コロラド	koɾoɾado
コロン	koɾoɴ
コンキリエ	koɴkiɾie
コンクール	koɴkɯːɾɯ
コンクリ	koɴkɯɾi
コンクリート	koɴkɯɾiːto
コングラ	koɴgɯɾa
コングラチュレーション	koɴgɯɾatɕɯɾeːɕoɴ
コンコース	koɴkoːsɯ
コンゴ	koɴgo
コンサート	koɴsaːto
コンサバ	koɴsaba
コンサバティブ	koɴsabateibɯ
コンシェルジュ	koɴɕieɾɯdʑɯ
コンシエルジュ	koɴɕieɾɯdʑɯ
コンシューマー	koɴɕɯːmaː
コンストラクター	koɴsɯtoɾakɯtaː
コンセプト	koɴsepɯto
コンセンサス	koɴseɴsasɯ
コンセント	koɴseɴto
コンセントレーション	koɴseɴtoɾeːɕoɴ
コンソメ	koɴsome
コンタミ	koɴtami
コンタミネーション	koɴtamineːɕoɴ
コンツェルン	koɴtsɯeɾɯɴ
コンテ	koɴte
コンティニュイティ	koɴteinjɯitei
コンテキスト	koɴtekisɯto
コンテクスト	koɴtekɯsɯto
コンテナ	koɴtena
コンテンツ	koɴteɴtsɯ
コンデンサ	koɴdeɴsa
コントラバス	koɴtoɾabasɯ
コントラルト	koɴtoɾaɾɯto
コンドーム	koɴdoːmɯ
コンドル	koɴdoɾɯ
コンパ	koɴpa
コンパイル	koɴpaiɾɯ
コンパス	koɴpasɯ
コンビ	koɴbi
コンビニ	koɴbini
コンビニエンス	koɴbinieɴsɯ
コンビネーション	koɴbineːɕoɴ
コンピューター	koɴpjɯːtaː
コンピュータリゼーション	koɴpjɯːtaɾizeːɕoɴ
コンプライアンス	koɴpɯɾaiaɴsɯ
コンプレックス	koɴpɯɾekːɯsɯ
コンボ	koɴbo
コンポーザー	koɴpoːzaː
コンポーネント	koɴpoːneɴto
コンポジション	koɴpodʑiɕoɴ
コンマ	koɴma
ゴー	goː
ゴーグル	goːgɯɾɯ
ゴースト	goːsɯto
ゴーヤ	goːja
ゴーヤー	goːjaː
ゴール	goːɾɯ
ゴールキーパー	goːɾɯkiːpaː
ゴールデン	goːɾɯdeɴ
ゴールデンウィーク	goːɾɯdeɴɯiːkɯ
ゴールド	goːɾɯdo
ゴーレム	goːɾemɯ
ゴキブリ	gokibɯɾi
ゴスペル	gosɯpeɾɯ
ゴスロリ	gosɯɾoɾi
ゴッド	godːo
ゴブリン	gobɯɾiɴ
ゴミ	gomi
ゴリラ	goɾiɾa
ゴルフ	goɾɯɸɯ
ゴング	goɴgɯ
ゴンドラ	goɴdoɾa
サーカス	saːkasɯ
サーキュレーション	saːkjɯɾeːɕoɴ
サークル	saːkɯɾɯ
サーチライト	saːtɕiɾaito
サーティーン	saːteiːɴ
サード	saːdo
サーバル	saːbaɾɯ
サービス	saːbisɯ
サービスエリア	saːbisɯeɾia
サーファー	saːɸaː
サーフィン	saːɸiɴ
サーフボード	saːɸɯboːdo
サーベル	saːbeɾɯ
サーボ	saːbo
サーモスタット	saːmosɯtatːo
サイエンス	saieɴsɯ
サイオン	saioɴ
サイキック	saikikːɯ
サイクロイド	saikɯɾoido
サイクロプス	saikɯɾopɯsɯ
サイクロン	saikɯɾoɴ
サイケ	saike
サイケデリック	saikedeɾikːɯ
サイコ	saiko
サイコキネシス	saikokineɕisɯ
サイコパス	saikopasɯ
サイコロジー	saikoɾodʑiː
サイズ	saizɯ
サイダー	saidaː
サイト	saito
サイドストーリー	saidosɯtoːɾiː
サイドバー	saidobaː
サイバネティックス	saibaneteikːɯsɯ
サイフォン	saiɸoɴ
サイホン	saihoɴ
サイボーグ	saiboːgɯ
サイリウム	saiɾiɯmɯ
サイレージ	saiɾeːdʑi
サイレン	saiɾeɴ
サイロ	saiɾo
サイン	saiɴ
サインオフ	saiɴoɸɯ
サウスポー	saɯsɯpoː
サウナ	saɯna
サウンド	saɯɴdo
サウンドトラック	saɯɴdotoɾakːɯ
サキソホン	sakisohoɴ
サクソフォーン	sakɯsoɸoːɴ
サクソフォン	sakɯsoɸoɴ
サクラマス	sakɯɾamasɯ
サクラメント	sakɯɾameɴto
サス	sasɯ
サステイン	sasɯteiɴ
サスペンス	sasɯpeɴsɯ
サスペンダー	sasɯpeɴdaː
サターン	sataːɴ
サタン	sataɴ
サッカー	sakːaː
サッカリン	sakːaɾiɴ
サック	sakːɯ
サックス	sakːɯsɯ
サッシ	saɕːi
サッフィズム	saッɸizɯmɯ
サテュロス	satejɯɾosɯ
サテライト	sateɾaito
サディスティック	sadeisɯteikːɯ
サディスト	sadeisɯto
サディズム	sadeizɯmɯ
サド	sado
サナトリウム	sanatoɾiɯmɯ
サバイバル	sabaibaɾɯ
サバンナ	sabaɴna
サパー	sapaː
サパークラブ	sapaːkɯɾabɯ
サビ	sabi
サファイア	saɸaia
サファリ	saɸaɾi
サフィズム	saɸizɯmɯ
サブカルチャー	sabɯkaɾɯtɕaː
サブキャラクター	sabɯkjaɾakɯtaː
サブスクリプション	sabɯsɯkɯɾipɯɕoɴ
サブチャンネル	sabɯtɕaɴneɾɯ
サブレー	sabɯɾeː
サプリ	sapɯɾi
サプリメント	sapɯɾimeɴto
サボタージ	sabotaːdʑi
サボタージュ	sabotaːdʑɯ
サボテン	saboteɴ
サポーター	sapoːtaː
サポート	sapoːto
サマー	samaː
サマリウム	samaɾiɯmɯ
サミット	samitːo
サムギョプサル	samɯgjopɯsaɾɯ
サムネイル	samɯneiɾɯ
サモサ	samosa
サモワール	samoɰᵝaːɾɯ
サラ	saɾa
サラダ	saɾada
サラファン	saɾaɸaɴ
サラブレッド	saɾabɯɾedːo
サラマンダー	saɾamaɴdaː
サラミ	saɾami
サラリーマン	saɾaɾiːmaɴ
サリー	saɾiː
サリン	saɾiɴ
サルサ	saɾɯsa
サルベージ	saɾɯbeːdʑi
サン・マリノ	saɴ maɾino
サンオイル	saɴoiɾɯ
サンキュ	saɴkjɯ
サンキュー	saɴkjɯː
サンクス	saɴkɯsɯ
サングラス	saɴgɯɾasɯ
サングリア	saɴgɯɾia
サンシェード	saɴɕieːdo
サンスクリット	saɴsɯkɯɾitːo
サンダー	saɴdaː
サンダル	saɴdaɾɯ
サンチュ	saɴtɕɯ
サンデー	saɴdeː
サントメプリンシペ	saɴtomepɯɾiɴɕipe
サントラ	saɴtoɾa
サンド	saɴdo
サンドイッチ	saɴdoitɕːi
サンドイッチマン	saɴdoitɕːimaɴ
サンドバッグ	saɴdobagːɯ
サンドブラスト	saɴdobɯɾasɯto
サンドペーパー	saɴdopeːpaː
サンドレス	saɴdoɾesɯ
サンバ	saɴba
サンバー	saɴbaː
サンプル	saɴpɯɾɯ
サンライズ	saɴɾaizɯ
ザ	za
ザーメン	zaːmeɴ
ザイル	zaiɾɯ
ザギン	zagiɴ
ザッハトルテ	zahːatoɾɯte
ザボン	zaboɴ
ザンビア	zaɴbia
シ	ɕi
シー	ɕiː
シークヮーサー	ɕiːkɯヮːsaː
シーサー	ɕiːsaː
シージャック	ɕiːdʑakːɯ
シースルー	ɕiːsɯɾɯː
シーズン	ɕiːzɯɴ
シーソー	ɕiːsoː
シーチキン	ɕiːtɕikiɴ
シーツ	ɕiːtsɯ
シート	ɕiːto
シード	ɕiːdo
シードル	ɕiːdoɾɯ
シーバス	ɕiːbasɯ
シーピーユー	ɕiːpiːjɯː
シーフード	ɕiːɸɯːdo
シーベルト	ɕiːbeɾɯto
シーボーギウム	ɕiːboːgiɯmɯ
シームレス	ɕiːmɯɾesɯ
シーラカンス	ɕiːɾakaɴsɯ
シール	ɕiːɾɯ
シアトル	ɕiatoɾɯ
シェアウェア	ɕieaɯea
シェアウエア	ɕieaɯea
シェリー	ɕieɾiː
シェル	ɕieɾɯ
シェルター	ɕieɾɯtaː
シエラレオネ	ɕieɾaɾeone
シカゴ	ɕikago
シガー	ɕigaː
シガレット	ɕigaɾetːo
シクラメン	ɕikɯɾameɴ
シシャモ	ɕiɕamo
シスオペ	ɕisɯope
シスコン	ɕisɯkoɴ
シスター	ɕisɯtaː
システイン	ɕisɯteiɴ
システム	ɕisɯtemɯ
シチュ	ɕitɕɯ
シチュー	ɕitɕɯː
シチュエーション	ɕitɕɯeːɕoɴ
シック	ɕikːɯ
シックス	ɕikːɯsɯ
シックスナイン	ɕikːɯsɯnaiɴ
シップ	ɕipːɯ
シナ	ɕina
シナプス	ɕinapɯsɯ
シナリオ	ɕinaɾio
シニヨン	ɕinijoɴ
シネスコ	ɕinesɯko
シネマ	ɕinema
シネマスコープ	ɕinemasɯkoːpɯ
シノニム	ɕinonimɯ
シビア	ɕibia
シフォン	ɕiɸoɴ
シフト	ɕiɸɯto
シベリア	ɕibeɾia
シミーズ	ɕimiːzɯ
シミュレーション	ɕimjɯɾeːɕoɴ
シミュレート	ɕimjɯɾeːto
シャーク	ɕaːkɯ
シャープ	ɕaːpɯ
シャープナー	ɕaːpɯnaː
シャーベット	ɕaːbetːo
シャーレ	ɕaːɾe
シャイ	ɕai
シャッター	ɕatːaː
シャットダウン	ɕatːodaɯɴ
シャッフル	ɕaɸːɯɾɯ
シャツ	ɕatsɯ
シャトル	ɕatoɾɯ
シャドー	ɕadoː
シャネラー	ɕaneɾaː
シャブ	ɕabɯ
シャベル	ɕabeɾɯ
シャボテン	ɕaboteɴ
シャボン	ɕaboɴ
シャモ	ɕamo
シャリーア	ɕaɾiːa
シャルドネ	ɕaɾɯdone
シャワー	ɕaɰᵝaː
シャンデリア	ɕaɴdeɾia
シャンパン	ɕaɴpaɴ
シヤッター	ɕijatːaː
シュークリーム	ɕɯːkɯɾiːmɯ
シューゲイザー	ɕɯːgeizaː
シューズ	ɕɯːzɯ
シュール	ɕɯːɾɯ
シュールストレミング	ɕɯːɾɯsɯtoɾemiɴgɯ
シュールレアリスム	ɕɯːɾɯɾeaɾisɯmɯ
シュニッツェル	ɕɯnitsːɯeɾɯ
シュノーケル	ɕɯnoːkeɾɯ
シュプレヒコール	ɕɯpɯɾeçikoːɾɯ
シュミーズ	ɕɯmiːzɯ
シュミレーション	ɕɯmiɾeːɕoɴ
シュラーフザック	ɕɯɾaːɸɯzakːɯ
シュラフザック	ɕɯɾaɸɯzakːɯ
シュリンク	ɕɯɾiɴkɯ
シュレッダー	ɕɯɾedːaː
ショーウィンドウ	ɕoːɯiɴdoɯ
ショーケース	ɕoːkeːsɯ
ショーツ	ɕoːtsɯ
ショート	ɕoːto
ショートストップ	ɕoːtosɯtopːɯ
ショートトン	ɕoːtotoɴ
ショール	ɕoːɾɯ
ショウガオール	ɕoɯgaoːɾɯ
ショコラ	ɕokoɾa
ショッキング	ɕokːiɴgɯ
ショットガン	ɕotːogaɴ
ショッピング	ɕopːiɴgɯ
ショップ	ɕopːɯ
ショパン	ɕopaɴ
ショベル	ɕobeɾɯ
シラップ	ɕiɾapːɯ
シラバス	ɕiɾabasɯ
シリーズ	ɕiɾiːzɯ
シルエット	ɕiɾɯetːo
シルバー	ɕiɾɯbaː
シルフ	ɕiɾɯɸɯ
シロップ	ɕiɾopːɯ
シンガー	ɕiɴgaː
シンクロ	ɕiɴkɯɾo
シンクロナイズ	ɕiɴkɯɾonaizɯ
シングル	ɕiɴgɯɾɯ
シンシア	ɕiɴɕia
シンジケート	ɕiɴdʑikeːto
シンセ	ɕiɴse
シンセサイザー	ɕiɴsesaizaː
シンセポップ	ɕiɴsepopːɯ
シンバル	ɕiɴbaɾɯ
シンパ	ɕiɴpa
シンフォニー	ɕiɴɸoniː
シンプル	ɕiɴpɯɾɯ
シンボル	ɕiɴboɾɯ
シンポジウム	ɕiɴpodʑiɯmɯ
ジープ	dʑiːpɯ
ジーメンス	dʑiːmeɴsɯ
